colname,score,rank
milesFromMetropolis_bin_1-degree_NONE,0.0,258
milesFromMetropolis_bin_1-major_NONE,0.0,259
milesFromMetropolis_bin_1-industry_AUTO,0.0,260
milesFromMetropolis_bin_1-industry_EDUCATION,0.0,261
milesFromMetropolis_bin_0-degree_BACHELORS,0.0,262
milesFromMetropolis_bin_2-jobType_CEO,0.0,263
major_NONE-industry_SERVICE,0.0,264
milesFromMetropolis_bin_2-jobType_CTO,0.0,265
milesFromMetropolis_bin_2-jobType_JUNIOR,0.0,266
milesFromMetropolis_bin_2-industry_HEALTH,0.0,267
milesFromMetropolis_bin_2-jobType_MANAGER,0.0,268
milesFromMetropolis_bin_2-jobType_VICE_PRESIDENT,0.0,269
milesFromMetropolis_bin_2-degree_BACHELORS,0.0,270
milesFromMetropolis_bin_2-degree_DOCTORAL,0.0,271
milesFromMetropolis_bin_2-degree_HIGH_SCHOOL,0.0,272
milesFromMetropolis_bin_2-degree_MASTERS,0.0,273
milesFromMetropolis_bin_2-degree_NONE,0.0,274
milesFromMetropolis_bin_2-major_NONE,0.0,275
milesFromMetropolis_bin_2-industry_AUTO,0.0,276
milesFromMetropolis_bin_2-industry_FINANCE,0.0,277
milesFromMetropolis_bin_2-industry_OIL,0.0,278
milesFromMetropolis_bin_3-degree_DOCTORAL,0.0,279
milesFromMetropolis_bin_2-industry_SERVICE,0.0,280
milesFromMetropolis_bin_2-industry_WEB,0.0,281
milesFromMetropolis_bin_3-jobType_CFO,0.0,282
milesFromMetropolis_bin_3-jobType_CTO,0.0,283
milesFromMetropolis_bin_3-jobType_JANITOR,0.0,284
milesFromMetropolis_bin_3-jobType_JUNIOR,0.0,285
milesFromMetropolis_bin_3-jobType_MANAGER,0.0,286
milesFromMetropolis_bin_3-jobType_SENIOR,0.0,287
milesFromMetropolis_bin_3-jobType_VICE_PRESIDENT,0.0,288
milesFromMetropolis_bin_3-degree_HIGH_SCHOOL,0.0,289
milesFromMetropolis_bin_3-degree_NONE,0.0,290
milesFromMetropolis_bin_4-industry_AUTO,0.0,291
milesFromMetropolis_bin_4-jobType_CEO,0.0,292
milesFromMetropolis_bin_2-jobType_JANITOR,0.0,293
milesFromMetropolis_bin_4-jobType_CTO,0.0,294
milesFromMetropolis_bin_3-major_NONE,0.0,295
milesFromMetropolis_bin_3-industry_AUTO,0.0,296
milesFromMetropolis_bin_3-industry_EDUCATION,0.0,297
milesFromMetropolis_bin_3-industry_FINANCE,0.0,298
milesFromMetropolis_bin_3-industry_HEALTH,0.0,299
milesFromMetropolis_bin_3-industry_OIL,0.0,300
milesFromMetropolis_bin_3-industry_SERVICE,0.0,301
milesFromMetropolis_bin_3-industry_WEB,0.0,302
milesFromMetropolis_bin_4-jobType_CFO,0.0,303
milesFromMetropolis_bin_4-major_NONE,0.0,304
milesFromMetropolis_bin_4-jobType_JANITOR,0.0,305
milesFromMetropolis_bin_3-degree_MASTERS,0.0,306
milesFromMetropolis_bin_4-jobType_JUNIOR,0.0,307
milesFromMetropolis_bin_4-jobType_MANAGER,0.0,308
milesFromMetropolis_bin_4-jobType_SENIOR,0.0,309
milesFromMetropolis_bin_4-degree_BACHELORS,0.0,310
milesFromMetropolis_bin_4-degree_DOCTORAL,0.0,311
milesFromMetropolis_bin_4-degree_HIGH_SCHOOL,0.0,312
milesFromMetropolis_bin_4-degree_MASTERS,0.0,313
milesFromMetropolis_bin_4-degree_NONE,0.0,314
milesFromMetropolis_bin_4-industry_OIL,0.0,315
milesFromMetropolis_bin_4-industry_SERVICE,0.0,316
degree_HIGH_SCHOOL-industry_FINANCE,0.0,317
degree_HIGH_SCHOOL-industry_EDUCATION,0.0,318
jobType_JUNIOR-degree_HIGH_SCHOOL,0.0,319
jobType_CFO-degree_NONE,0.0,320
milesFromMetropolis_bin_4-industry_WEB,0.0,321
jobType_CEO-degree_BACHELORS,0.0,322
jobType_CEO-degree_DOCTORAL,0.0,323
jobType_CEO-degree_MASTERS,0.0,324
jobType_CEO-major_NONE,0.0,325
jobType_CEO-industry_EDUCATION,0.0,326
jobType_CEO-industry_FINANCE,0.0,327
jobType_CEO-industry_HEALTH,0.0,328
jobType_CFO-degree_BACHELORS,0.0,329
jobType_CFO-degree_MASTERS,0.0,330
jobType_CFO-major_NONE,0.0,331
jobType_JUNIOR-degree_DOCTORAL,0.0,332
jobType_CFO-industry_FINANCE,0.0,333
jobType_CTO-degree_HIGH_SCHOOL,0.0,334
jobType_CTO-degree_MASTERS,0.0,335
jobType_CTO-degree_NONE,0.0,336
jobType_CTO-major_NONE,0.0,337
jobType_JANITOR-degree_HIGH_SCHOOL,0.0,338
jobType_JANITOR-degree_NONE,0.0,339
jobType_JANITOR-major_NONE,0.0,340
jobType_JANITOR-industry_AUTO,0.0,341
jobType_JUNIOR-degree_MASTERS,0.0,342
jobType_JUNIOR-degree_NONE,0.0,343
jobType_VICE_PRESIDENT-industry_FINANCE,0.0,344
jobType_MANAGER-industry_AUTO,0.0,345
jobType_VICE_PRESIDENT-industry_OIL,0.0,346
jobType_JUNIOR-major_NONE,0.0,347
jobType_JUNIOR-industry_AUTO,0.0,348
jobType_JUNIOR-industry_OIL,0.0,349
jobType_JUNIOR-industry_WEB,0.0,350
jobType_MANAGER-degree_BACHELORS,0.0,351
jobType_MANAGER-degree_DOCTORAL,0.0,352
jobType_MANAGER-degree_MASTERS,0.0,353
jobType_MANAGER-degree_NONE,0.0,354
jobType_MANAGER-major_NONE,0.0,355
jobType_MANAGER-industry_OIL,0.0,356
jobType_VICE_PRESIDENT-major_NONE,0.0,357
jobType_SENIOR-degree_DOCTORAL,0.0,358
jobType_SENIOR-degree_MASTERS,0.0,359
jobType_SENIOR-degree_NONE,0.0,360
jobType_SENIOR-major_NONE,0.0,361
jobType_SENIOR-industry_WEB,0.0,362
jobType_VICE_PRESIDENT-degree_BACHELORS,0.0,363
jobType_VICE_PRESIDENT-degree_DOCTORAL,0.0,364
jobType_VICE_PRESIDENT-degree_HIGH_SCHOOL,0.0,365
jobType_VICE_PRESIDENT-degree_MASTERS,0.0,366
jobType_VICE_PRESIDENT-degree_NONE,0.0,367
jobType_JUNIOR-degree_BACHELORS,0.0,368
jobType_VICE_PRESIDENT-industry_HEALTH,0.0,369
degree_BACHELORS-major_CHEMISTRY,0.0,370
degree_BACHELORS-industry_WEB,0.0,371
degree_HIGH_SCHOOL-industry_OIL,0.0,372
degree_DOCTORAL-major_ENGINEERING,0.0,373
degree_BACHELORS-major_LITERATURE,0.0,374
degree_BACHELORS-major_NONE,0.0,375
degree_BACHELORS-industry_AUTO,0.0,376
degree_BACHELORS-industry_EDUCATION,0.0,377
degree_BACHELORS-industry_FINANCE,0.0,378
degree_BACHELORS-industry_HEALTH,0.0,379
degree_BACHELORS-industry_OIL,0.0,380
degree_BACHELORS-industry_SERVICE,0.0,381
degree_DOCTORAL-major_CHEMISTRY,0.0,382
degree_HIGH_SCHOOL-industry_WEB,0.0,383
degree_DOCTORAL-major_MATH,0.0,384
degree_HIGH_SCHOOL-industry_HEALTH,0.0,385
degree_DOCTORAL-industry_AUTO,0.0,386
degree_DOCTORAL-industry_EDUCATION,0.0,387
degree_DOCTORAL-industry_FINANCE,0.0,388
degree_DOCTORAL-industry_HEALTH,0.0,389
degree_DOCTORAL-industry_OIL,0.0,390
degree_DOCTORAL-industry_WEB,0.0,391
degree_HIGH_SCHOOL-major_NONE,0.0,392
degree_HIGH_SCHOOL-industry_AUTO,0.0,393
degree_HIGH_SCHOOL-industry_SERVICE,0.0,394
major_NONE-industry_OIL,0.0,395
yearsExperience_bin_4-jobType_MANAGER,0.0,396
degree_MASTERS-industry_WEB,0.0,397
degree_BACHELORS-major_ENGINEERING,0.0,398
degree_MASTERS-major_BIOLOGY,0.0,399
degree_MASTERS-major_ENGINEERING,0.0,400
degree_MASTERS-major_LITERATURE,0.0,401
degree_MASTERS-major_MATH,0.0,402
degree_MASTERS-major_NONE,0.0,403
degree_MASTERS-industry_AUTO,0.0,404
degree_MASTERS-industry_EDUCATION,0.0,405
degree_MASTERS-industry_FINANCE,0.0,406
degree_MASTERS-industry_OIL,0.0,407
degree_NONE-major_NONE,0.0,408
major_NONE-industry_HEALTH,0.0,409
degree_NONE-industry_AUTO,0.0,410
degree_NONE-industry_EDUCATION,0.0,411
degree_NONE-industry_FINANCE,0.0,412
degree_NONE-industry_HEALTH,0.0,413
degree_NONE-industry_OIL,0.0,414
degree_NONE-industry_SERVICE,0.0,415
degree_NONE-industry_WEB,0.0,416
major_NONE-industry_AUTO,0.0,417
major_NONE-industry_EDUCATION,0.0,418
major_NONE-industry_FINANCE,0.0,419
major_NONE-industry_WEB,0.0,420
